user_name,wine_name,user_rating,avg_rating,profile_url
,Bloemendal Tyger Syrah 2016,4,0,https://www.vivino.com/users/jean-paul.coetser
,Hachón Reserva 2018,4,3.9,https://www.vivino.com/users/jean-paul.coetser
,Elda Vino Al Popolo Pop Pop,3.5,3.7,https://www.vivino.com/users/jean-paul.coetser
,El Esteco Don David Reserve Malbec 2022,4,3.9,https://www.vivino.com/users/jean-paul.coetser
,Falesco Tellus Syrah 2015,4,3.7,https://www.vivino.com/users/jean-paul.coetser
,Maison Duhard Reserve Malbec 2022,3,3.5,https://www.vivino.com/users/jean-paul.coetser
,Tombacco Aglianico del Beneventano 2021,4,4,https://www.vivino.com/users/jean-paul.coetser
,Bodegas Faustino VII Tempranillo 2021,3,3.7,https://www.vivino.com/users/jean-paul.coetser
,Bodegas Faustino V Reserva 2014,4,3.8,https://www.vivino.com/users/jean-paul.coetser
,19 Crimes Red Blend Blend,4,4,https://www.vivino.com/users/jean-paul.coetser
,Endrizzi Cabernet Sauvignon Trentino 2021,3,0,https://www.vivino.com/users/jean-paul.coetser
,Cepa Lebrel Rioja Reserva 2017,3.5,3.6,https://www.vivino.com/users/jean-paul.coetser
,Famiglia Castellani Chianti Colli Senesi 2019,3,3.7,https://www.vivino.com/users/jean-paul.coetser
,Corte alle Mura Chianti Riserva 2019,3,3.7,https://www.vivino.com/users/jean-paul.coetser
,Falesco Tellus Syrah 2017,4,3.8,https://www.vivino.com/users/jean-paul.coetser
,Il Tauro Salice Salentino Riserva 2019,4,3.8,https://www.vivino.com/users/jean-paul.coetser
,Tarapacá Armada de Chile Cabernet Sauvignon 2021,3,3.7,https://www.vivino.com/users/jean-paul.coetser
,Boekenhoutskloof The Chocolate Block 2021,4,4.1,https://www.vivino.com/users/jean-paul.coetser
,Glen Carlou Merlot 2021,4,4,https://www.vivino.com/users/jean-paul.coetser
,Neethlingshof Estate The Short Story Collection The Owl Post Pinotage 2019,4,4.2,https://www.vivino.com/users/jean-paul.coetser
,Lowerland Die Verlore Bokooi 2020,3,4.1,https://www.vivino.com/users/jean-paul.coetser
,De Grendel Rubaiyat 2018,4.5,4.3,https://www.vivino.com/users/jean-paul.coetser
,Maastricht Merlot 2021,3,3.8,https://www.vivino.com/users/jean-paul.coetser
,Bitou Malbec 2020,4,3.9,https://www.vivino.com/users/jean-paul.coetser
,Karusa Reserve Collection 5th Element Syrah - Viognier 2018,4,4.3,https://www.vivino.com/users/jean-paul.coetser
,Muratie Melck's Blended Red 2020,3,3.9,https://www.vivino.com/users/jean-paul.coetser
,Beaumont Vitruvian 2015,4.5,4.3,https://www.vivino.com/users/jean-paul.coetser
,Spier Private Collection Cabernet Sauvignon 2018,4,3.9,https://www.vivino.com/users/jean-paul.coetser
,Boschendal Nicolas 2021,4,4,https://www.vivino.com/users/jean-paul.coetser
,Arcangeli Romulus Nebbiolo 2017,4,3.8,https://www.vivino.com/users/jean-paul.coetser
,Niel Joubert Pinotage 2019,3,3.7,https://www.vivino.com/users/jean-paul.coetser
,Benguela Cove Collage Red Blend 2023,4,0,https://www.vivino.com/users/jean-paul.coetser
,De Grendel Merlot 2022,3.5,0,https://www.vivino.com/users/jean-paul.coetser
,Excelsior Cabernet Sauvignon Evanthius 2017,4,4,https://www.vivino.com/users/jean-paul.coetser
